author,text,hashtags,likes,retweets,replies,views,created_at,url
Fazt0x,$dilip  reminds me of the early hours of  chillguy,,0,0,0,0,2025-06-02T16:20:37.000Z,https://x.com/fazt0x/status/1929573881087418609
9 4 7 S C,$1+ before September #CHILLGUY,#CHILLGUY,63,20,7,1434,2025-06-02T19:27:54.000Z,https://x.com/947SC/status/1929621011592310977
bryan mbuemo,Chill guy #bryanmbuemo #BrentfordFC,"#bryanmbuemo,#BrentfordFC",29979,1162,241,935796,2025-06-02T16:17:46.000Z,https://x.com/b_mbuemo/status/1929573164658430395
KNIGHT,#chillguy,#chillguy,85,18,3,4908,2025-06-02T13:14:17.000Z,https://x.com/cryptoknight890/status/1929526988957434320
vie (),just a little  chill guy #seiblue,#seiblue,3384,571,5,26356,2025-06-02T10:06:52.000Z,https://x.com/qnnevierre/status/1929479821647618392
Hasan,#CHILLGUY,#CHILLGUY,135,22,7,7274,2025-06-01T22:11:43.000Z,https://x.com/TradebyHasan/status/1929299850589503989
Getz | Tigerroulade,just a  chill guy #sampo #sampokoski #hsr,"#sampo,#sampokoski,#hsr",2807,557,8,26932,2025-05-29T22:51:20.000Z,https://x.com/getsu_bragin/status/1928222655435407699
SkyV,#CHILLGUY  doesnt  chill  anytime soon ,#CHILLGUY,86,20,9,2224,2025-06-01T21:58:16.000Z,https://x.com/SkyV_KCG/status/1929296465425318314
chill guy | fan page,just a  chill guy  writing down his goals for 2025.,,2286,380,58,79854,2024-12-27T09:35:01.000Z,https://x.com/chillguyx/status/1872576913383788836
Penguin,"#chillguy  will be over $1 soon, there is no doubt.",#chillguy,0,0,0,0,2025-06-02T22:18:01.000Z,https://x.com/PenguinOffisial/status/1929663821464961463
crypto jedi,"#Chillguy  is so deeply rooted into our culture 

I see it all over other platforms used in the same way people use Pepe 

I see it in adds and I see it in random videos I see it in sports it’s everywhere still 

Here’s a few I’ve seen posted in the past week  #chillguy  to $10","#Chillguy,#chillguy",79,19,2,1211,2025-06-02T14:38:14.000Z,https://x.com/JediMasterct/status/1929548115180134735
Penguin,#chillguy  will likely hit $0.50 this month.,#chillguy,119,21,13,4815,2025-06-02T02:41:02.000Z,https://x.com/PenguinOffisial/status/1929367626142150787
𝓐𝓺𝓾𝓪 𝓴𝓷𝓲𝓰𝓱𝓽,"250524
DREAMQUEST Chill guy HQ #지성 #JISUNG #NCT #NCTDREAM #チソン","#지성,#JISUNG,#NCT,#NCTDREAM,#チソン",0,0,0,0,2025-05-24T17:27:51.000Z,https://x.com/Aquaknight0205/status/1926329307753800151
Lubski Chillguy,Just a  #chillguy  chilling to chillions,#chillguy,0,0,0,0,2025-06-01T13:32:29.000Z,https://x.com/Lubski_chills/status/1929169181422809289
Crypto GVR,Just opened  #chillguy  long  Do or Die trade,#chillguy,212,32,40,42423,2025-06-02T12:42:07.000Z,https://x.com/GVRCALLS/status/1929518891627356419
krish,Chill guy  is basically a cartoonised version of Kevin James,,6555,717,34,209622,2024-11-20T08:14:12.000Z,https://x.com/0xkrishb/status/1859148225791619346
CHILLGUY on SOL,#CHILLGUY  IS A SLEEPING GIANT,#CHILLGUY,116,12,5,1512,2025-05-25T10:15:32.000Z,https://x.com/chillguy4life/status/1926582899563786694
Coolmath Games,"it gets to a point.

( chill guy  art credit to  @PhillipBankss )",,724,61,16,16622,2024-11-26T20:57:02.000Z,https://x.com/TheRealCoolmath/status/1861514522516680966
JTMX,When the meme isn’t loved but I’m lowkey just a  chill guy,,7961,112,25,120133,2024-11-27T21:28:17.000Z,https://x.com/JTMX080626/status/1861884775063240975
The Assertive Guy,Peak Men Behaviour  @ElvishYadav #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1966,337,8,58459,2025-05-26T09:36:23.000Z,https://x.com/SabChillHaiBro/status/1926935436498227417
Crypto Bull ( Until 5th Sep 2025 ),I bought a  #chillguy  T-shirt today and it looks so cool  And insta longed the token here  Aiming for $0.25 in coming days ,#chillguy,132,17,43,6781,2025-06-01T22:16:45.000Z,https://x.com/holdersignals/status/1929301115960525057
Maru ||,*drawing the face of his  * : i think i might make this a little sleepy. cause  's eyes are a little droopy half of the time. just got a  chill  vibe. he's just a  chill guy . he lowkey don't gaf : *happy noises* #kaeflix #zealginjoka,"#kaeflix,#zealginjoka",0,0,0,0,2025-05-25T01:12:35.000Z,https://x.com/shenmaruu/status/1926446263446253717
chill guy | fan page,I’m just a  chill guy  with a low taper fade,,1214,76,37,247631,2024-11-26T03:52:41.000Z,https://x.com/chillguyx/status/1861256740169203889
chill guy | fan page,just a  chill guy  who's ready for another character building weekend.,,243,27,7,10879,2025-01-04T09:52:02.000Z,https://x.com/chillguyx/status/1875480297166287058
X,The fridge wants more food ,,0,0,0,0,2025-05-24T21:43:22.000Z,https://x.com/justChill_guy/status/1926393613740585207
stayuma.meowracha,Chill guy  Han  #StrayKids #han,"#StrayKids,#han",0,0,0,0,2025-05-29T00:54:29.000Z,https://x.com/Stayuma_meow/status/1927891261761147346
Ｍuneeb,$ CHILLGUY,,103,17,12,8443,2025-05-30T16:02:36.000Z,https://x.com/MirMuneeb55/status/1928482184505000391
0xDarius,#chillguy  going viral. chillguy  traders lowkey  chill  nonchalant type shi.,#chillguy,323,50,31,18580,2024-11-18T22:33:36.000Z,https://x.com/0x_Darius/status/1858639722362568792
𝘣𝘦𝘺𝘻𝘢⡡,profesör =  chill guy #EşrefRüya,#EşrefRüya,456,24,5,9091,2025-05-26T14:23:08.000Z,https://x.com/yabaniaep/status/1927007598634586437
Coinbase Guy,Day 153 of posting  #CHILLGUY  until he gets listed on  @coinbase . #SpotListing,"#CHILLGUY,#SpotListing",94,18,6,1085,2025-05-24T17:15:43.000Z,https://x.com/CoinbaseGuy/status/1926326257592963499
Kim,"Today, I was casually checking a wallet that had purchased a large amount of  CHILLGUY  meme coin early in its launch. This same wallet also bought a significant amount of our popular  $ilove  meme coin shortly after its launch. https:// eBDpsRsbuCZ1BgeW5K4xyygePoViH2khSsHfrV#defiactivities …",#defiactivities,0,0,0,0,2025-06-02T22:17:54.000Z,https://x.com/0xKim_trader/status/1929663794583683320
"Wizard Of SoHo (,)",Just a  chill guy  waiting to get to chillions,,394,37,46,33900,2024-11-22T01:27:18.000Z,https://x.com/wizardofsoho/status/1859770601025700105
just a chill guy | fan page,just a  chill guy  remaining unfazed by fud and fake news.,,997,162,63,36891,2024-12-26T22:25:02.000Z,https://x.com/chillguycto/status/1872408305026334952
MIRAI,"chilling into the ai world with  @chillguycto  

rendering  chillguy  into 3D, publicly usable  wherever. 

more to come ",,204,52,29,15926,2025-06-02T15:07:48.000Z,https://x.com/Mirai_terminal/status/1929555553728049168
chill guy | fan page,"when everything is not alright, but you're just a  chill guy .",,846,167,38,37836,2024-12-06T04:30:02.000Z,https://x.com/chillguyx/status/1864890015869710427
nebby/ray *ੈ✩‧₊˚,I love grumpy short  guy  and lowkey  chill  tall  guy  duos (solkat art is by beescake on tumblr btw ),,0,0,0,0,2025-06-01T04:04:47.000Z,https://x.com/nebbyray/status/1929026315669123525
chill guy | fan page,just a  chill guy  who likes white monster.,,221,30,9,187,2024-12-26T12:32:04.000Z,https://x.com/chillguyx/status/1872259079109857582
just a chill guy | fan page,just a  chill guy  waiting for his friend to catch a breath so we can continue climbing the mountain.,,1003,133,64,34980,2024-12-16T23:57:28.000Z,https://x.com/chillguycto/status/1868807688043610260
chill guy | fan page,what have you been through to be this  chill ?,,226,45,10,10521,2025-01-19T08:33:02.000Z,https://x.com/chillguyx/status/1880896235533443225
chill guy | fan page,patiently waiting for her to make the first move cause i’m really just a  chill guy,,429,48,16,171,2024-11-22T05:34:40.000Z,https://x.com/chillguyx/status/1859832849609949399
just a chill guy | fan page,did santa's chillest helper get you the gift you wanted?,,542,85,42,19663,2024-12-25T22:35:02.000Z,https://x.com/chillguycto/status/1872048433072087492
just a chill guy | fan page,"new week, new month, let's cook.",,707,41,33,7684,2025-06-02T09:31:53.000Z,https://x.com/chillguycto/status/1929471021137936429
KNIGHT,#chillguy,#chillguy,147,17,27,10015,2025-05-27T07:20:28.000Z,https://x.com/cryptoknight890/status/1927263621865742411
chill guy | fan page,just two  chill  bros who understand each other.,,220,38,15,14009,2024-12-21T20:16:03.000Z,https://x.com/chillguyx/status/1870563908181709023
Danny André,#chillguy #SOL #memecoins  Looking super bullish ,"#chillguy,#SOL,#memecoins",80,24,9,3584,2025-05-24T17:33:31.000Z,https://x.com/signalwolf1/status/1926330736761536787
just a chill guy | fan page,just a  chill guy  who needs his morning coffee.,,249,43,27,8785,2025-02-20T13:04:04.000Z,https://x.com/chillguycto/status/1892560853435609504
Rypto,Chill Guy : The Quiet Strength Meme  #CHILLGUY @chillguycto,#CHILLGUY,235,51,32,39733,2024-11-24T17:27:38.000Z,https://x.com/Rypto__/status/1860737049826906499
FreenBecky&Chill,Guys  I’m so proud of her and I’m sure you all know what I mean  REBECCA WITH CHANEL J12 BLUE HOUR #ChanelJ12xBecky,#ChanelJ12xBecky,0,0,0,0,2025-05-24T12:21:01.000Z,https://x.com/FBandChill/status/1926252094287122590
just a chill guy | fan page,"even in the middle of a storm, we stay  chill .",,1679,253,107,59493,2024-12-09T21:32:23.000Z,https://x.com/chillguycto/status/1866234464193360113
Alex,"#CHILLGUY  may get listed on big exchange 5-6 June or 26-27 June 

Of course, it’s not a financial advice  Let’s roll the dice ",#CHILLGUY,27,6,2,558,2025-06-02T05:37:54.000Z,https://x.com/iamalexaslan/status/1929412135744135281
Joanna,My son is a  #Chillguy .,#Chillguy,72,8,5,1932,2025-05-31T22:29:31.000Z,https://x.com/fowler_joa10070/status/1928941939790921888
chill guy | fan page,i’m just a  chill guy —couldn’t be bothered.,,416,72,22,21486,2024-12-11T23:07:09.000Z,https://x.com/chillguyx/status/1866983087235596507
Aurum,"Imagine getting the chance to buy  $PNUT  under 10M

Or $ CHILLGUY  under 10M

You'd throw everything you had at it right?  $KAKA  is currently 6M

The team is absolutely stacked with killers, with 10 and 9 figures launches under their belts 

The first 100M token on Bonk is sitting",,52,24,13,3996,2025-05-24T15:41:16.000Z,https://x.com/AURUM_TRADES/status/1926302486094131204
just a chill guy | fan page,football players and fans love  chill guy .,,421,62,11,14179,2025-05-03T23:18:02.000Z,https://x.com/chillguycto/status/1918807289751916691
chill guy | fan page,just a  chill guy  who just cant hear very well,,279,43,4,14921,2024-12-18T10:14:02.000Z,https://x.com/chillguyx/status/1869325239307362428
just a chill guy | fan page,"take a break from the charts, get some fresh air.",,257,45,39,9718,2025-02-02T16:01:21.000Z,https://x.com/chillguycto/status/1886082486419038468
SwapSpace, New listing - $ CHILLGUY  is now available on SwapSpace @chillguycto  is a meme character that's all about being super relaxed and not caring much about anything.  Go to our platform to exchange  CHILLGUY  at the most favorable rates -  https:// guy?utm_source=twitter&utm_medium=social&utm_campaign=listing … #listing #swap,"#listing,#swap",226,66,24,10861,2024-11-24T13:44:57.000Z,https://x.com/SwapSpaceCo/status/1860681009920127449
just a chill guy | fan page,"no matter what,  chill guy  will always be there for you when you need him.",,547,104,59,19500,2025-01-19T15:05:35.000Z,https://x.com/chillguycto/status/1880995021845139612
Braden ‍,Just a  chill guy  waiting for a Wirtz and Kerkez “Here We Go”,,5194,281,18,143234,2025-05-24T18:47:03.000Z,https://x.com/Braden_LFC/status/1926349242060169365
Alex,"Everything will be alright when trump will become  #CHILLGUY  

till then nobody safe ",#CHILLGUY,72,10,2,2113,2025-05-30T18:58:59.000Z,https://x.com/iamalexaslan/status/1928526569674276884
Sukhjinder Singh Randhawa,"Chill guys , they're just bent over to check the brand of the boots  #Brandchack #punjab","#Brandchack,#punjab",49,8,3,3016,2025-05-24T12:57:51.000Z,https://x.com/Sukhjinder_INC/status/1926261361492824435
just a chill guy | fan page,just a  chill guy  enjoying the  chill  snow.,,668,181,38,21711,2024-12-27T17:22:02.000Z,https://x.com/chillguycto/status/1872694441649066044
just a chill guy | fan page,it turns out that the  guy  is still  chill .,,387,67,27,13104,2025-02-27T00:18:13.000Z,https://x.com/chillguycto/status/1894904838061695433
just a chill guy | fan page,build towards making the world around you as  chill  as possible.,,212,32,19,6034,2025-03-20T23:12:31.000Z,https://x.com/chillguycto/status/1902860836122587372
KNIGHT,#chillguy  looking forq 0.05$ for a bounce,#chillguy,87,8,10,6562,2025-05-31T10:49:10.000Z,https://x.com/cryptoknight890/status/1928765694625104009
just a chill guy | fan page,"chilling 

not a phone in sight nor a worry in the mind.",,1085,176,70,42159,2024-12-14T20:45:32.000Z,https://x.com/chillguycto/status/1868034611344998529
chill guy | fan page,just a  chillguy  getting ready for his morning routine.,,1038,96,15,31426,2025-03-24T00:57:00.000Z,https://x.com/chillguyx/status/1903974293324898585
just a chill guy | fan page,"they chase the charts i just  chill  and recline, i'm just a  chill guy SERIOUS THOUGHT.

This Chill Guy meme is being used by everyday people (I'm seeing many people NOT IN CRYPTO using this meme on Instagram)..

More than I have EVER seen them use Pepe (if they ever even did)..

Pepe was a more niche 4 chan/ Reddit nerd thing..

Hmm, interesting",,394,88,24,22584,2024-12-03T17:56:57.000Z,https://x.com/chillguycto/status/1864005918402490726
Gibbs,"NEXT LEG LOADING Last time we see under $0.10 for good.

GOD WILLING #ChillGuy",#ChillGuy,119,21,6,3005,2025-05-26T00:55:53.000Z,https://x.com/CryptoGibbs28/status/1926804447377653811
KNIGHT,#CHILLGUY  THIS SETU WILL BE SEXYYYY IF WE GET,#CHILLGUY,123,15,2,13529,2025-05-29T07:20:23.000Z,https://x.com/cryptoknight890/status/1927988375337746454
chill guy,big woo iconic pose 2024 vs 2025 ,,0,0,0,0,2025-06-02T22:17:34.000Z,https://x.com/supersayiangod_/status/1929663710563651791
just a chill guy | fan page,just some  chill guys  taking over the internet.,,1530,260,136,114151,2024-12-02T23:59:55.000Z,https://x.com/chillguycto/status/1863734873669718512
Potto,"JUST A  #CHILLGUY THATS THE TWEET.

1B INEVITABLE.",#CHILLGUY,120,23,4,2261,2025-05-31T17:35:40.000Z,https://x.com/pottocrypto/status/1928867991518634314
chill guy | fan page,when you get teleported to the shadow realm but you're just a  chill guy  who believes in the heart of the cards,,876,122,23,139281,2024-11-25T07:05:28.000Z,https://x.com/chillguyx/status/1860942866077356479
just a chill guy | fan page,just a  chill guy  who can never have enough coins.,,583,94,53,156,2025-01-16T10:02:34.000Z,https://x.com/chillguycto/status/1879831602903371973
Gibbs,Engagement.  #ChillGuy,#ChillGuy,100,15,6,1745,2025-06-01T19:23:27.000Z,https://x.com/CryptoGibbs28/status/1929257502514073808
chill guy | fan page,Going to the movies by myself because I’m just a  chill guy  who enjoys the magic of cinema,,6388,801,150,575768,2024-11-27T11:16:41.000Z,https://x.com/chillguyx/status/1861730860434592127
Coinbase Guy,Day 162 of posting  #CHILLGUY  until he gets listed on  @coinbase . #SpotListing,"#CHILLGUY,#SpotListing",70,18,3,533,2025-06-02T21:00:35.000Z,https://x.com/CoinbaseGuy/status/1929644337618735372
·,the  chill guy 's entrance  #도겸 hey! long time no see! dokyeomie  hello hello!,#도겸,0,0,0,0,2025-06-02T14:57:18.000Z,https://x.com/kyeomdaily/status/1929552914764230908
chill guy | fan page,your daily reminder to  chill  out.,,105,19,4,2971,2025-06-02T02:45:17.000Z,https://x.com/chillguyx/status/1929368693873541611
chill guy | fan page,would you trust this  chill  croupier to give you winning cards?,,239,25,14,9506,2025-02-06T02:22:02.000Z,https://x.com/chillguyx/status/1887325852108492961
